"Function
功能"	"Class ID
类"	"Ver.
版本"	"FID2/
IDIS/Hexing"	"Attribute
&
Method
No.
属性
方法"	"Object
&
Attribute
Name
对象&属性名"	"Attribute
&
Parameter
Type
属性&方法参数类型"	"OBIS Code
&
Default Value
OBIS&默认值"	"Display OBIS code（6）
显示OBIS（6 段）"	"Display OBIS code（4）
显示OBIS（4 段）"	"Access Right
访问权限"				"Comments
注释"	"XML Comments
XML 注释"	"Coding
编码"
电网质量//判断电压	3	0	FID2 & IDIS		Resotre threshold for Under Voltage (sag)		1-0:12.186.0.255	12.31.0						欠压电压恢复判断阈值		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned	less than 20% VREF			\	W	RW	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	 {-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Second threshold for Under Voltage (sag)		1-1:12.31.0.255	1.12.31.0						第二欠压门限		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000C1F00FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned	less than 20% VREF			\	W	RW	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	 {-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold for SAG		1-0:12.150.0.255	12.150.0						SAG判断阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	W	RW	R		voltage	
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	 {-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for SAG		1-0:12.166.0.255	12.166.0						SAG判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	W	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Time Threshold for Under Voltage (sag)		1-0:12.43.0.255	12.43.0						欠压时间门限		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000C2B00FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned	180			\	W	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	废弃	Hexing	a2	Time threshold for under voltage	long_unsigned	1-0:12.131.0.255							欠压判断延迟		
电网质量//电网质量	1	0	FID2 & IDIS		Number of Under Voltages (sag) in phase L1		1-0:32.32.0.255	32.32.0						A相欠压次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100202000FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of missing voltage in phase L1		1-0:32.40.0.255	32.40.0						A相失压次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	废弃	Hexing	a2	Number of missing voltage in phase L1		1-0:32.32.0.255							A相失压次数		
电网质量//时间相关	3	0	Hexing		Duration for missing voltage  in phase L1		1-0:32.41.0.255	32.41.0						A相失压持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]	"01000C2B00FF"			\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned	180			\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	FID2 & IDIS		Number of Under Voltages (sag) in phase L2		1-0:52.32.0.255	52.32.0						B相欠压次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100342000FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of missing voltage in phase L2		1-0:52.40.0.255	52.40.0						B相失压次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	废弃	Hexing	a2	Number of Under Voltages (sag) in phase L2		1-0:52.32.0.255							B相失压次数		
电网质量//时间相关	3	0	Hexing		Duration for missing voltage in phase L2		1-0:52.41.0.255	52.41.0						B相失压持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]	"01000C2B00FF"			\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned	180			\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	FID2 & IDIS		Number of Under Voltages (sag) in phase L3		1-0:72.32.0.255	72.32.0						C相欠压次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100482000FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of missing voltage in phase L3		1-0:72.40.0.255	72.40.0						C相失压次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	废弃	Hexing	a2	Number of missing voltage in phase L3		1-0:72.32.0.255							C相失压次数		
电网质量//时间相关	3	0	Hexing		Duration for missing voltage in phase L3		1-0:72.41.0.255	72.41.0						C相失压持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]	"01000C2B00FF"			\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned	180			\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of Under Voltage (sag) in phase L1		1-0:32.33.0.255	32.33.0						A相欠压持续时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100202100FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of Under Voltage (sag) in phase L2		1-0:52.33.0.255	52.33.0						B相欠压持续时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100342100FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of Under Voltage (sag) in phase L3		1-0:72.33.0.255	72.33.0						C相欠压持续时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100482100FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Magnitude of Under Voltage (sag) in phase L1		1-0:32.34.0.255	32.34.0						A相欠压电压大小		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100202200FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Magnitude of Under Voltage (sag) in phase L2		1-0:52.34.0.255	52.34.0						B相欠压电压大小		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100342200FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Magnitude of Under Voltage (sag) in phase L3		1-0:72.34.0.255	72.34.0						C相欠压电压大小		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100482200FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Threshold for Over Voltage (swell)		1-0:12.35.0.255	12.35.0						过压门限		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000C2300FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned	more than 15% VREF			\	W	RW	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Restore time threshold for Over Voltage (swell)		1-0:12.178.0.255	12.178.0						过压电压恢复延迟		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Restore threshold for Over Voltage (swell)		1-0:12.185.0.255	12.35.0						过压电压恢复判断阈值		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned	more than 15% VREF			\	W	RW	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Second threshold for Over Voltage (swell)		1-1:12.35.0.255	1.12.35.0						第二过压门限		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000C2300FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned	more than 15% VREF			\	W	RW	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Second Time threshold for Over Voltage (swell)		1-1:12.44.0.255	1.12.44.0						第二过压时间门限		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned	180			\	W	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Time threshold for Over Voltage (swell)		1-0:12.44.0.255	12.44.0						过压时间门限		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000C2C00FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned	180			\	W	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	FID2 & IDIS		Number of Over Voltages(swell)  in phase L1		1-0:32.36.0.255	32.36.0						A相过压次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100202400FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2 & IDIS		Number of Over Voltages (swell) in phase L2		1-0:52.36.0.255	52.36.0						B相过压次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100342400FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2 & IDIS		Number of Over Voltages (swell) in phase L3		1-0:72.36.0.255	72.36.0						C相过压次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100482400FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of Over Voltage (swell) in phase L1		1-0:32.37.0.255	32.37.0						A相过压持续时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100202500FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of Over Voltage (swell) in phase L2		1-0:52.37.0.255	52.37.0						B相过压持续时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100342500FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of Over Voltage (swell) in phase L3		1-0:72.37.0.255	72.37.0						C相过压持续时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100482500FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Magnitude of Over Voltage (swell) in phase L1		1-0:32.38.0.255	32.38.0						A相过压电压大小		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100202600FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Magnitude of Over Voltage (swell) in phase L2		1-0:52.38.0.255	52.38.0						B相过压电压大小		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100342600FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Magnitude of Over Voltage (swell) in phase L3		1-0:72.38.0.255	72.38.0						C相过压电压大小		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0100482600FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Threshold for missing voltage (voltage cut)		1-0:12.39.0.255	12.39.0						失压门限		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000C2700FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned	"3P CT: 161
3P CTPT: 161
 1P: 115
3P DC: 115"			\	W	RW	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	废弃	Hexing	a2	Threshold for missing voltage (voltage cut)		1-0:12.31.0.255							失压判断阀值		
电网质量//判断电压	3	0	FID2 & IDIS		Restore threshold for missing voltage (voltage cut)		1-0:12.177.0.255	12.177.0						失压电压恢复判断阀值		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned	"3P CT: 161
3P CTPT: 161
 1P: 115
3P DC: 115"			\	W	RW	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold for Low Battery Voltage (voltage)		1-0:12.162.0.255	12.162.0						电池欠压阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for Low Battery Voltage		1-0:12.163.0.255	12.163.0						电池欠压延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold of battery capacity  for Low Battery Voltage		1-0:160.128.0.255	160.h.0						电池容量阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold of voltage upper limit for Battery Voltage Recover		1-0:12.164.0.255	12.164.0						电池电压上限阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold of voltage upper limit for Battery Voltage Recover		1-0:12.165.0.255	12.165.0						电池电压上限延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold for All Loss of voltage (voltage)		1-0:12.158.0.255	12.158.0						全失压电压判断阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R		voltage	
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电流	3	0	Hexing		Threshold for All Loss of voltage (current)		1-0:11.146.0.255	11.146.0						全失压电流判断阀值		
电网质量//判断电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
